Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,LFQ Intensity FASP_8M_1.raw,LFQ Intensity FASP_8M_2.raw,LFQ Intensity FASP_8M_3.raw,LFQ Intensity Control_1.raw,LFQ Intensity Gel_1.raw,LFQ Intensity FASP_Pellet_1.raw,LFQ Intensity SN_1.raw,LFQ Intensity Control_2.raw,LFQ Intensity Gel_2.raw,LFQ Intensity FASP_Pellet_2.raw,LFQ Intensity SN_2.raw,LFQ Intensity Control_3.raw,LFQ Intensity Gel_3.raw,LFQ Intensity FASP_Pellet_3.raw,LFQ Intensity SN_3.raw,LFQ Intensity Pelletpellet_1.raw,LFQ Intensity Pelletpellet_2.raw,LFQ Intensity Pelletpellet_3.raw,LFQ Intensity Pellet_1.raw,LFQ Intensity Pellet_2.raw,LFQ Intensity Pellet_3.raw,LFQ Intensity DRG_Pelletpellet.raw,LFQ Intensity DRG8M.raw,LFQ Intensity DRG_Pellet.raw,LFQ Intensity DRG_Sample.raw,LFQ Intensity DRG_SN.raw,LFQ Intensity Kidney_Pelletpellet.raw,LFQ Intensity Kidney_Pellet.raw,LFQ Intensity Kidney_Sample.raw,LFQ Intensity Kidney_SN.raw,LFQ Intensity Lung8M.raw,LFQ Intensity FASP_SDS_1.raw,LFQ Intensity FASP_SDS_2.raw,LFQ Intensity FASP_SDS_3.raw,LFQ Intensity Skin8M.raw,LFQ Intensity Testes_Pelletpellet.raw,LFQ Intensity Testes_Pellet.raw,LFQ Intensity Testes_Sample.raw,LFQ Intensity Testes_SN.raw,LFQ Intensity TRPA1_gel.raw,LFQ Intensity TRPA1_Xeno.raw,LFQ Intensity TRPV1_gel.raw,LFQ Intensity TRPV1_Xeno.raw
Q9Z319,CORIN_MOUSE,Corin,Atrial natriuretic peptide-converting enzyme,2,2,,,,,,,,,,,,,,,,,,,,,,245403,,,,,,,,,,,,,,,,,150370,,,,
Q8K1Z0,COQ9_MOUSE,Coq9,"Ubiquinone biosynthesis protein COQ9, mitochondrial",14,14,383648,,,345566,,255511,,375234,,272594,,447939,,298260,,220756,147344,,251735,336620,314834,248036,590114,986100,492445,442870,,944007,249734,4.35E+06,208277,,,,512802,259701,658291,272908,741322,,,438043,
Q566J8,COQ8B_MOUSE,Coq8b,"Atypical kinase COQ8B, mitochondrial",3,3,,,,,,61020.8,,,,66016.9,,,,58257.5,,35654.9,48383,53016.1,,,,164981,,,,,,,,63698.1,15481.1,,,,,103820,,,35278.2,,,,
Q60936,COQ8A_MOUSE,Coq8a,"Atypical kinase COQ8A, mitochondrial",16,16,,154688,,120952,,223759,,91210.8,,190999,,138140,,,,141403,146188,210874,,,,121119,832400,154808,,232731,,143797,,843239,62280.2,,,,416708,301864,,,340063,,,380016,
P97478,COQ7_MOUSE,Coq7,"NADPH-dependent 3-demethoxyubiquinone 3-hydroxylase, mitochondrial",6,6,,,,79697.6,,91216.2,,61269.6,,,,106643,,137376,,,,171683,,,,,,263164,,,,111955,,399950,68534.2,,,,,255104,106264,,169166,,,164369,
Q8R1S0,COQ6_MOUSE,Coq6,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial",10,10,,,,111158,,,,95764.5,,48849.9,,139804,,126908,,63595,136026,,,,,150380,,148253,,,,,,385828,,,,,,272510,,,241783,,,199488,
Q9CXI0,COQ5_MOUSE,Coq5,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial",10,10,,,,30464.3,,86581.4,,45453.4,,81701.9,,29085.5,,,,,,,70404.5,47243.6,68839,,125506,146370,,,,166925,,406687,50166.2,,,,,,,,120096,,,166719,
Q8BGB8,COQ4_MOUSE,Coq4,"Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial",6,6,,,,,,132002,,50360.2,,69552.7,,,,118900,,,91448.7,254447,,,,337691,,,,,,,,509093,,,,,,324556,,,97911.6,,,,
Q8BMS4,COQ3_MOUSE,Coq3,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",8,8,,,,287464,,153956,,187792,,76139.7,,212068,,99997.8,,,,616815,186288,,,,931059,356263,,778641,,,,1.24E+06,107698,,,,,412138,,,787320,,,,
A0A1W2P7G5;A0A1W2P7J1;E9Q3H6,A0A1W2P7G5_MOUSE;A0A1W2P7J1_MOUSE;E9Q3H6_MOUSE,Coq10a,"Coenzyme Q-binding protein COQ10 homolog B, mitochondrial",7,6,31469.3,41438.3,,,,105088,,,,62589.9,,,,34824.5,,41858.1,45732.6,48064.5,,,,,,,,,,,,37752.1,,,,,,42508.1,,,,,,,
P61924,COPZ1_MOUSE,Copz1,Coatomer subunit zeta-1,6,6,,179452,,225641,,151628,391434,196784,,187031,411924,244252,,133760,347072,,,,,,,,204091,168424,882528,,,127515,1.05E+06,694999,730876,,,,,94849.1,,909142,867893,,,,
Q8VBV7,CSN8_MOUSE,Cops8,COP9 signalosome complex subunit 8,5,5,,171097,,580548,,194089,657521,494455,,114164,878486,822836,,169529,755978,,,,572884,596285,494057,,720506,503549,1.12E+06,218854,,521621,992211,399827,461593,,,,,,240073,1.52E+06,600289,,,,
Q8BV13,CSN7B_MOUSE,Cops7b,COP9 signalosome complex subunit 7b,5,5,,,,126318,,51831.7,91313.2,81958.4,,,109218,115309,,,62674.4,,,,,,,,,,,,,,,,,,,,,,,99014.7,52234.5,,,,
Q9CZ04,CSN7A_MOUSE,Cops7a,COP9 signalosome complex subunit 7a,10,10,182952,132644,158077,408669,,260449,414596,287732,,98312.2,500461,363085,,76146.3,500780,,,,171838,153333,279478,,390596,,226694,,,,237367,245346,383779,,,,,,,1.12E+06,457059,,,,
O88545,CSN6_MOUSE,Cops6,COP9 signalosome complex subunit 6,11,11,,37400.4,,268320,,238578,367214,332633,,172106,475301,301542,,,394390,,,,,,114646,,451364,,177459,,,,146669,239682,238782,,,,,,,1.17E+06,493454,,,,
O35864,CSN5_MOUSE,Cops5,COP9 signalosome complex subunit 5,12,12,146845,131496,133991,262370,,108428,339635,209107,,80578.9,317471,271320,,93712.5,374066,,,,,,98373.7,,190162,,,,,,,,199319,,,,,,,571068,366602,,285299,146091,
O88544,CSN4_MOUSE,Cops4,COP9 signalosome complex subunit 4,24,24,196605,132841,103008,494831,,314583,605025,406456,,209645,705477,552562,,348070,770800,,,,287428,303231,298785,,844406,,631314,,,215103,379160,350007,470411,,,,,134063,,1.89E+06,697132,,932964,374799,
O88543,CSN3_MOUSE,Cops3,COP9 signalosome complex subunit 3,14,14,430946,921660,,719162,,603807,909600,687352,,575886,975769,602847,,376647,910967,249372,262947,635107,229791,125058,321748,425701,456171,,1.18E+06,285998,,234547,1.17E+06,348345,737973,,,,,113822,,2.30E+06,747366,,2.76E+06,827050,
P61202,CSN2_MOUSE,Cops2,COP9 signalosome complex subunit 2,22,22,231979,202189,,340093,,333959,515569,311657,,288496,484398,344179,,380495,519171,153124,170339,234625,,28219.8,110581,152676,326054,,330704,237111,,173938,426916,328987,263586,,,,,165002,,1.28E+06,549711,,475049,287183,
Q9CQ13,COPRS_MOUSE,Coprs,Coordinator of PRMT5 and differentiation stimulator,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488544,141802,,,,
Q9QXK3,COPG2_MOUSE,Copg2,Coatomer subunit gamma-2,28,26,,204576,,191940,896666,362025,298993,248852,1.03E+06,345748,304387,212443,1.09E+06,292261,262850,59337.6,72949.5,217300,,,54128.8,327897,304338,,478293,267371,,,903198,689614,479305,,,,324306,74383.1,147426,1.13E+06,1.43E+06,,529550,376521,1.49E+06
Q9QZE5,COPG1_MOUSE,Copg1,Coatomer subunit gamma-1,25,25,,146211,,79931.3,692122,163565,167552,128090,783247,149525,188249,107537,761238,217580,153710,,,336707,,,,150295,311662,,528200,,,,1.33E+06,800062,490413,,,,,190997,,446347,414870,,316657,,
O89079,COPE_MOUSE,Cope,Coatomer subunit epsilon,11,11,,,,136379,,131927,166815,159039,,122033,201494,211999,,173582,143312,100030,,,,46122.6,,124873,372118,,219946,,,,259099,858364,433658,,,,405040,97509.4,112015,583577,937917,,,,
O55029,COPB2_MOUSE,Copb2,Coatomer subunit beta',32,32,185675,234088,,262090,1.27E+06,291691,392293,226140,1.42E+06,229400,389005,365477,1.45E+06,310040,374336,,,282715,75049,,,277559,402918,,647328,355770,,203033,642797,810818,671118,,,,301239,202718,281394,1.02E+06,1.39E+06,,2.14E+06,512564,
Q9JIF7,COPB_MOUSE,Copb1,Coatomer subunit beta,39,39,,136721,,219535,800268,523130,320984,245483,973842,527343,313461,209472,940336,215016,267704,181503,193170,192638,,,,188267,359981,,289731,,,,436722,620000,532986,,,,545589,177523,,933185,1.27E+06,,1.61E+06,567188,1.42E+06
Q8CIE6,COPA_MOUSE,Copa,Coatomer subunit alpha,58,57,324640,283090,,218773,1.89E+06,538987,521322,282482,1.97E+06,431729,501571,334456,1.95E+06,569496,452389,486733,433175,933585,,,,917672,738994,120251,1.18E+06,511263,,,1.63E+06,1.27E+06,945664,,,373078,518898,1.06E+06,215994,1.43E+06,1.60E+06,,2.58E+06,889588,
Q8BIG7,CMTD1_MOUSE,Comtd1,Catechol O-methyltransferase domain-containing protein 1,10,10,766007,651436,773192,1.23E+06,,3.50E+06,,1.21E+06,,3.91E+06,,1.01E+06,,5.46E+06,,3.88E+06,4.41E+06,7.40E+06,1.07E+06,1.05E+06,1.09E+06,2.41E+06,1.21E+06,634589,,1.25E+06,,1.47E+06,,864787,,,,,,1.88E+06,620759,,624302,,,,
O88587,COMT_MOUSE,Comt,Catechol O-methyltransferase,10,10,,,,350006,,267735,189540,390212,,258502,227392,317716,,107103,188422,,,,,100886,109962,,405046,300789,797592,209475,,,1.45E+06,1.51E+06,685740,,,,,114327,,237017,403258,,,,
Q9R0G6,COMP_MOUSE,Comp,Cartilage oligomeric matrix protein,4,3,,,,,643753,,,,627053,,,,,,,,743287,1.56E+06,,,,,1.25E+06,,1.54E+06,,,,,,,,,,,,,,,,,,
Q8K2Q0,COMD9_MOUSE,Commd9,COMM domain-containing protein 9,5,5,,,,69377.9,,,,49304.9,,,68357.6,43351,,,,,,,,,,,60357.2,,,,,,200346,,78573,,,,,,,74143.4,,,86679.6,18710.8,
Q8BG94,COMD7_MOUSE,Commd7,COMM domain-containing protein 7,1,1,,,,,,24550.5,,,,,,46871.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0R4J0U7,A0A0R4J0U7_MOUSE,Commd5,COMM domain-containing protein 5,1,1,,,,36750.8,,,58735.6,28783.7,,,,53539.1,,,37345.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q63829,COMD3_MOUSE,Commd3,COMM domain-containing protein 3,3,3,,,,36593.6,,,,46337.2,,,,54336.3,,,41819.7,,,,,,,,,,,,,,77937.9,,41871.6,,,,,,,59986,30750.8,,,,
Q8BXC6,COMD2_MOUSE,Commd2,COMM domain-containing protein 2,3,3,,,,25773.1,,61214.4,43324.6,72007.8,,35716.5,25586.4,46220.7,,95998,22489.2,36069.6,52822.6,115097,,21279.1,,,,,,,,,324114,208037,23987.2,,,,,139784,,40189.7,23495,,,,
Q8JZY2,COMDA_MOUSE,Commd10,COMM domain-containing protein 10,2,2,,,,453617,,,318172,434380,,,,610625,,1.74E+06,238645,,,,,,,,,1.51E+06,,,,,,,,,,,,743948,,,,,,,
Q8K297,GT251_MOUSE,Colgalt1,Procollagen galactosyltransferase 1,17,17,,,,,,85351.9,,,,59091.4,,,,160887,,371670,428870,245168,,,,3.53E+06,115867,,,,,,,258581,195482,,,,,774349,531735,,621995,,,257930,
Q8K4Q8,COL12_MOUSE,Colec12,Collectin-12,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478487,,,,,,,,,,,,
Q07643,CO9A2_MOUSE,Col9a2,Collagen alpha-2(IX) chain,2,2,,,,,,,,,,,,,,,,,,1.47E+06,,,,,,,,,,,,,,,,,,,,,,,,,
Q05722,CO9A1_MOUSE,Col9a1,Collagen alpha-1(IX) chain,1,1,,,,,,,,,,,,,,,,,45771.7,293675,,,,,,,,,,,,,,,,,,,,,,,,,
Q8C6K9,CO6A6_MOUSE,Col6a6,Collagen alpha-6(VI) chain,3,3,,,,,,,,,,,,,,,,,,192397,,,,513438,,,,,,,,,,,,,,,,,,,,,
A6H584,CO6A5_MOUSE,Col6a5,Collagen alpha-5(VI) chain,20,17,,,,,,343182,,,,,,,,,,,,1.61E+06,,,,1.19E+06,432615,,,,,,,,,,,,,219564,,,,,,,
A2AX52,CO6A4_MOUSE,Col6a4,Collagen alpha-4(VI) chain,8,8,,,,,,21185.7,,28569.5,,50727.4,,32408.4,,,,,,,,,,29265.8,,,,,,,,,,,,,,,,,,,,,
E9PWQ3,E9PWQ3_MOUSE,Col6a3,Collagen alpha-3(VI) chain,130,129,,164184,,,,1.53E+06,,,395177,2.58E+06,,,,907987,,486802,759269,1.53E+07,,,,3.09E+06,2.84E+07,339914,,,,3.59E+06,,,2.85E+06,,,,1.10E+07,4.35E+06,401369,,,,,,
Q02788,CO6A2_MOUSE,Col6a2,Collagen alpha-2(VI) chain,39,39,,,,,,850361,,,,1.15E+06,,,,,,,,1.00E+07,,,,1.98E+06,1.12E+07,,,,,729703,,,770338,,,,1.47E+06,2.73E+06,,,,,,,
Q04857,CO6A1_MOUSE,Col6a1,Collagen alpha-1(VI) chain,34,34,,,,,,1.78E+06,,,242329,1.89E+06,,,,398814,,115459,201013,1.49E+07,,,,2.99E+06,3.46E+07,,,,,2.29E+06,,,2.24E+06,,,,4.26E+06,4.25E+06,,,,,,,
Q9JLI2,Q9JLI2_MOUSE,Col5a3,Collagen type V alpha 3 chain,2,2,,,,,,,,,,,,,,,,,,,,,,,918999,,,,,,,,,,,,,,,,,,,,
O88207,CO5A1_MOUSE,Col5a1,Collagen alpha-1(V) chain,4,4,,,,,,,,,,,,,,,,,,401221,,,,,1.64E+06,,,,,396061,,,,,165102,,3.50E+06,,,,,,,,
P08122,CO4A2_MOUSE,Col4a2,Collagen alpha-2(IV) chain,6,6,438314,,,,276886,8.15E+06,,,1.32E+06,1.38E+07,,,,1.71E+06,,1.91E+06,2.05E+06,1.95E+07,,,,4.13E+06,1.46E+07,321434,,,,3.08E+06,,,500468,5.27E+07,2.41E+07,1.25E+07,,9.95E+06,,,,,,,
P02463,CO4A1_MOUSE,Col4a1,Collagen alpha-1(IV) chain,5,5,,,,,,4.09E+06,,,237014,2.47E+06,,,,924376,,579647,688656,7.18E+06,,,,1.52E+06,338166,,,,,757039,,,253426,351782,272561,363521,,5.83E+06,,,,,,,
P08121,CO3A1_MOUSE,Col3a1,Collagen alpha-1(III) chain,5,5,,,,,,,,,,,,,,,,,,430859,,,,,3.15E+06,,,,,,,,,,,,8.23E+06,,,,,,,,
P28481,CO2A1_MOUSE,Col2a1,Collagen alpha-1(II) chain,6,6,,,,,,,,,,,,,,,,,74467.5,1.36E+06,,,,,866477,,,,,,,,,,,,,,,,,,,,
Q2UY11,COSA1_MOUSE,Col28a1,Collagen alpha-1(XXVIII) chain,10,10,,,,,,,,,,,,,,,,,,3.49E+06,,,,,1.27E+07,,,,,1.28E+06,,,,,,,,,,,,,,,
Q01149,CO1A2_MOUSE,Col1a2,Collagen alpha-2(I) chain,27,27,,,,,,,,,,278766,,,,255224,,783976,361497,8.17E+07,,,,9.39E+06,9.95E+07,763460,,,,9.54E+06,,,3.22E+06,2.12E+07,4.05E+07,5.28E+06,5.15E+08,5.32E+06,1.44E+06,,,,,,
P11087,CO1A1_MOUSE,Col1a1,Collagen alpha-1(I) chain,21,19,,,,,,747899,,,333322,3.35E+06,,,,285200,,1.16E+06,844580,1.47E+08,653012,233653,,1.41E+07,1.08E+08,804054,,,,1.55E+07,,,2.79E+06,1.23E+07,1.86E+07,5.48E+06,6.27E+08,6.63E+06,2.03E+06,,,,,,
P39061,COIA1_MOUSE,Col18a1,Collagen alpha-1(XVIII) chain,25,25,,255145,,,,343388,,,170406,505771,,,,635607,,131673,55800.6,4.07E+06,,49103.1,,4.19E+06,3.02E+06,2.12E+06,517362,,,2.67E+06,625875,531436,1.14E+06,,,,,5.14E+06,919476,,279898,,,,
Q8BLX7,COGA1_MOUSE,Col16a1,Collagen alpha-1(XVI) chain,3,3,,,,,,,,,,,,,,,,27366.7,37296.3,375297,,,,151589,47602.4,,,,,,,,,,,,,86924.3,,,,,,,
O35206,COFA1_MOUSE,Col15a1,Collagen alpha-1(XV) chain,16,16,,54738.7,,,,234141,,,,334337,,,,,,,,354417,,,,,6.43E+06,848183,873795,,,2.95E+06,,,120656,,,,1.69E+06,313412,360817,,,,,,
Q80X19,COEA1_MOUSE,Col14a1,Collagen alpha-1(XIV) chain,39,39,,,,,,,,,,,,,,,,,,4.25E+06,,,,1.90E+06,2.26E+06,189935,801148,,,882599,660537,258651,301748,,,,5.28E+06,1.17E+06,450479,380240,99349.8,,,,
Q60847,COCA1_MOUSE,Col12a1,Collagen alpha-1(XII) chain,78,78,,318663,,,,308070,,,,377720,,,,,,195109,241948,5.92E+06,,,,1.65E+06,8.85E+06,,757338,,,3.52E+06,589780,,554640,,,,,765493,924781,320596,201027,,,,
Q64739,COBA2_MOUSE,Col11a2,Collagen alpha-2(XI) chain,3,3,,,,,,,,,,,,,,,,,,73586.3,,,,,,,,,,71252.5,,,,,,,,,,,,,,,
Q5SU73,COIL_MOUSE,Coil,Coilin,6,6,170180,215611,36918.9,,,31601.2,,,,33521.6,,,,,,316795,240518,78894.3,,,,1.73E+06,,,,,,,,,,,,,,,,,,,,,
Q9JJA2,COG8_MOUSE,Cog8,Conserved oligomeric Golgi complex subunit 8,8,8,,,,,,34908.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333713,104984,,,,
Q3UM29,COG7_MOUSE,Cog7,Conserved oligomeric Golgi complex subunit 7,19,18,,,,,,122339,32765.9,,56904.2,81714.7,68193.7,,,,,,,,,,,,81070.1,,,,,,101923,119244,95405.3,,,,,,,403403,197710,,,,
A0A0R4J0L5;Q8BRB0,A0A0R4J0L5_MOUSE;Q8BRB0_MOUSE,Cog6,Conserved oligomeric Golgi complex subunit 6,13,13,,,,,,37848.7,21955.2,,,,,,,,46843.7,,,,,,,,48540.1,,,,,,167147,,,,,,,,,404622,172419,,,,
Q8C0L8,COG5_MOUSE,Cog5,Conserved oligomeric Golgi complex subunit 5,12,12,,,,,,61701,18664.1,,49648.8,23962.6,40522.9,,45150,30499.1,30187.1,,,,,,,,,,,,,,157099,,69759.5,,,,,,,358126,135946,,,,
Q8R1U1,COG4_MOUSE,Cog4,Conserved oligomeric Golgi complex subunit 4,12,12,,,,,,,,,43613.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341256,142409,,,,
E9QL65,E9QL65_MOUSE,Cog3,Conserved oligomeric Golgi complex subunit 3,14,14,,,,,466725,,,,489706,,140819,,496555,,,,,,,,,303981,,,,,,,,,,,,,,,,1.16E+06,406603,,,,
Q921L5,COG2_MOUSE,Cog2,Conserved oligomeric Golgi complex subunit 2,11,11,,,,,38408.1,31376.4,,,,,,,47703.1,,42929.2,,,,,,,,,,,,,,,,,,,,,,,247527,74693.6,,,,
Q9Z160,COG1_MOUSE,Cog1,Conserved oligomeric Golgi complex subunit 1,19,19,,,,,66006.3,106444,,,,,,,,,95247.3,,,,,,,,,,271668,,,,265658,,,,,,,,,549791,187607,,,,
Q62507,COCH_MOUSE,Coch,Cochlin,4,4,61217.3,157576,,,,104078,,,,137230,,,,,,,,,,,,,118307,,,,,,,,,,,,,,,,,,,,
B1AZ14;B1AZ15,B1AZ14_MOUSE;B1AZ15_MOUSE,Cobll1,Cobl-like 1,36,36,,,,,,195918,,,,299302,,,,,,307402,424078,692403,,,,2.06E+06,,1.39E+06,,966698,,344033,441011,322997,306744,,,,,1.15E+06,853513,,45419.4,,,,
B1AZ26,B1AZ26_MOUSE,Cobll1,Cobl-like 1 (Fragment),3,3,,,,,,,,,,,,,,,,,,,,,,294222,,437897,,,,,,93406.9,,,,,,569456,,,,,,,
Q5NBX1,COBL_MOUSE,Cobl,Protein cordon-bleu,18,18,144054,,,,,105507,,,,95217,,,,228144,,538244,509490,,252136,180407,245225,,,359828,,,,,,,52288.2,342067,203085,,,684099,,,,,,,
Q9DBL7,COASY_MOUSE,Coasy,Bifunctional coenzyme A synthase,16,16,,99569.6,,343457,,170935,203452,294795,40947.5,139949,258210,328923,,219385,228804,,,207920,,,226833,,236808,438217,707651,343528,,240363,3.19E+06,4.07E+06,213366,,,,,398510,,689097,600462,,,,
Q921H9,COA7_MOUSE,Coa7,Cytochrome c oxidase assembly factor 7,5,5,164306,120022,199855,252715,,,185598,223849,,,,140634,,,,,,,161087,113158,149361,,137317,815640,,,,136563,,333022,,,,311103,,131582,,,167603,,,,
Q8BGD8,COA6_MOUSE,Coa6,Cytochrome c oxidase assembly factor 6 homolog,1,1,,,,,,,,,,,,,,,,12360.4,14863.5,,,,,,,,,,,,,,8755.6,,,,,46136.8,,,,,,,
Q9D2R6,COA3_MOUSE,Coa3,"Cytochrome c oxidase assembly factor 3 homolog, mitochondrial",6,6,891483,823204,836738,370005,,833152,,359764,,632503,,452552,,1.58E+06,,1.21E+06,1.57E+06,2.06E+06,687528,692008,547993,1.16E+06,442218,2.63E+06,,,,1.72E+06,,349676,129964,,,,,3.94E+06,2.27E+06,,46745.9,,,,
Q8CB62,CNTRB_MOUSE,Cntrob,Centrobin,2,2,,,,,,,,,,,,,,,,,,,,,,976430,,,,,,,,,,,,,,,627695,,,,,,
Q0V8T9,CTP5A_MOUSE,Cntnap5a,Contactin-associated protein like 5-1,11,6,,,,76912.2,78792.9,118728,,66268.2,,178624,,76389.7,,135958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99P47,CNTP4_MOUSE,Cntnap4,Contactin-associated protein-like 4,11,10,,,,119499,115650,162781,,65793.3,52515.3,179122,,,,,,94836.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
E9QNF7,E9QNF7_MOUSE,Cntnap2,Contactin associated protein-like 2,38,38,335165,464846,,967014,1.48E+06,1.45E+06,,793516,554388,1.93E+06,,883120,313686,1.55E+06,,504561,498698,816469,,124344,167550,,700396,,,698597,,438482,,,,,,,,,,,,,,,
O54991,CNTP1_MOUSE,Cntnap1,Contactin-associated protein 1,41,41,1.81E+06,1.52E+06,1.29E+06,1.20E+06,1.76E+06,9.05E+06,,1.21E+06,1.05E+06,1.13E+07,,1.47E+06,516834,4.69E+06,,1.89E+06,2.08E+06,3.74E+06,457769,401450,661120,,2.77E+06,,,,,1.13E+06,,,,,,,,,,,,,,,
Q9JMB8,CNTN6_MOUSE,Cntn6,Contactin-6,7,7,,,,30723.9,,69650.6,,11033.7,29002.6,79267.3,,,,39648.8,,48728.6,51684.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q69Z26,CNTN4_MOUSE,Cntn4,Contactin-4,12,12,,,,135706,390600,290055,,156543,328888,396081,,163843,266938,222865,,144802,160904,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07409,CNTN3_MOUSE,Cntn3,Contactin-3,14,13,,,,200216,463097,493874,,106039,422817,565550,,176304,293984,274225,,183008,207090,,,,,,,,,,,,,,,,,,,,,,,,,,
Q61330,CNTN2_MOUSE,Cntn2,Contactin-2,32,32,257251,140998,222353,421530,1.03E+06,714273,,344298,959224,1.02E+06,,331795,722872,891144,,943797,899236,1.60E+06,168994,228674,209436,,391665,,,424254,,579261,,,,,185009,,,,,,,,,,
P12960,CNTN1_MOUSE,Cntn1,Contactin-1,73,73,9.01E+06,7.73E+06,7.08E+06,1.15E+07,2.34E+07,2.41E+07,1.92E+06,1.06E+07,2.05E+07,3.42E+07,2.29E+06,1.21E+07,2.02E+07,2.20E+07,2.26E+06,1.24E+07,1.31E+07,1.66E+07,4.65E+06,4.65E+06,5.27E+06,1.11E+06,5.28E+06,,3.47E+06,5.06E+06,,5.38E+06,,,,6.88E+06,3.58E+06,4.94E+06,,,,,261335,,,,
O88507,CNTFR_MOUSE,Cntfr,Ciliary neurotrophic factor receptor subunit alpha,7,7,,,486845,578136,,1.07E+06,,536131,,1.10E+06,,650790,,537970,,369317,424746,,,,,,,,,,,,,,,,,,,,,,152766,,,,
P51642,CNTF_MOUSE,Cntf,Ciliary neurotrophic factor,7,7,,,,,,,,,,,,,,,,,,,,,,,3.62E+06,,,,,,,,,,,,,,,,,,,,
Q8CBC4,CNST_MOUSE,Cnst,Consortin,8,8,,,,18120.2,209953,38223,,41533.8,216668,49388.3,,46757.7,180189,116347,,,,99634.3,,,,,,,,,,,,,,,,,,22471.1,,,141158,,,,
Q5M8N0,CNRP1_MOUSE,Cnrip1,CB1 cannabinoid receptor-interacting protein 1,11,11,5.09E+06,3.91E+06,8.88E+06,4.79E+06,,1.04E+06,3.34E+06,4.65E+06,,1.22E+06,4.51E+06,4.74E+06,,1.29E+06,3.69E+06,610240,1.10E+06,871758,3.40E+06,4.10E+06,5.27E+06,,1.03E+06,,1.19E+06,1.36E+06,,641892,621594,,180684,,454775,,,,,139150,125594,,,,
P47936,CNR2_MOUSE,Cnr2,Cannabinoid receptor 2,1,1,65451.6,49226.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P47746,CNR1_MOUSE,Cnr1,Cannabinoid receptor 1,4,4,200704,148675,,73059.7,78179.5,150038,,95201.7,76326.5,154575,,89084.5,54689.4,83425.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8BQ47,CNPY4_MOUSE,Cnpy4,Protein canopy homolog 4,2,2,,,,27346.9,,,,21280.9,,,,28979.7,,,,,,,,,,,242804,,,,,,,,207377,,,,,,,,90810.3,,,,
Q9DAU1,CNPY3_MOUSE,Cnpy3,Protein canopy homolog 3,4,4,312171,430319,1.15E+06,1.26E+06,,,,961322,,,,792839,,,,808364,821084,,,407162,,,,,,,,,,,,,,,,,,,1.06E+06,,,,
Q9QXT0,CNPY2_MOUSE,Cnpy2,Protein canopy homolog 2,7,7,351479,435162,558228,791725,,,,707037,,144987,95345.6,797334,,,,,94139.1,985159,127527,322777,,,1.31E+06,1.02E+06,1.10E+06,,,743948,644933,4.34E+06,1.22E+06,,,,3.74E+06,867998,,242823,1.77E+06,,,,
P16330,CN37_MOUSE,Cnp,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",62,62,5.09E+07,3.06E+07,3.04E+07,1.33E+07,425135,4.35E+07,803435,1.73E+07,347521,3.72E+07,530844,1.81E+07,,2.81E+07,348601,1.04E+07,8.72E+06,7.96E+07,1.48E+07,1.07E+07,1.15E+07,2.03E+06,5.53E+07,,7.06E+06,2.31E+07,,5.81E+07,1.53E+06,,616964,1.52E+07,4.73E+06,7.77E+06,3.18E+06,,,1.58E+06,594028,,,,
Q9JKY0,CNOT9_MOUSE,Cnot9,CCR4-NOT transcription complex subunit 9,5,5,,,,,,68893.3,53414.7,,,32085.1,50057.7,29584.2,,,42849.1,52786.4,64057.4,63780.9,,,,110305,,,,,,,,,27739.8,,,,,73552.7,,38090.6,21767.8,,362941,174166,
Q60809,CNOT7_MOUSE,Cnot7,CCR4-NOT transcription complex subunit 7,6,6,,,,,,57781.5,,,,55651.6,77718.8,,,40345.5,52457.5,,,,,,,,,,,,,,,,,,,,,,,66537.5,108153,,,,
Q8K0V4,CNOT3_MOUSE,Cnot3,CCR4-NOT transcription complex subunit 3,11,11,,,,,305386,59197.8,,,262200,87443.2,36009.1,,260110,114927,,77727.5,79347.3,,,,,80722,,62438.8,,,,,,,,,,,,,,70220.7,86234.1,,,138272,
